hcp_id,rep_id,call_date,call_type,duration_min
HCP0012,REP000,2025-02-03,In-person,15
HCP0012,REP000,2025-02-24,In-person,29
HCP0012,REP000,2025-03-17,In-person,25
HCP0012,REP000,2025-03-24,Virtual,26
HCP0012,REP000,2025-03-31,Virtual,18
HCP0012,REP000,2025-04-07,In-person,28
HCP0012,REP000,2025-05-12,Virtual,9
HCP0012,REP000,2025-06-16,In-person,27
HCP0012,REP000,2025-06-30,In-person,25
HCP0012,REP000,2025-07-07,Virtual,26
HCP0012,REP000,2025-09-08,In-person,11
HCP0012,REP000,2025-09-15,In-person,10
HCP0012,REP000,2025-09-22,In-person,29
HCP0012,REP000,2025-10-27,Speaker Program,11
HCP0012,REP000,2025-11-17,In-person,27
HCP0012,REP000,2025-12-22,In-person,11
HCP0013,REP036,2025-01-13,In-person,13
HCP0013,REP036,2025-05-19,In-person,8
HCP0013,REP036,2025-11-10,In-person,22
HCP0013,REP036,2025-12-22,In-person,14
HCP0014,REP034,2025-01-06,In-person,22
HCP0014,REP034,2025-01-27,In-person,8
HCP0014,REP034,2025-02-10,Speaker Program,16
HCP0014,REP034,2025-03-03,In-person,22
HCP0014,REP034,2025-03-24,In-person,13
HCP0014,REP034,2025-03-31,In-person,18
HCP0014,REP034,2025-04-07,Virtual,17
HCP0014,REP034,2025-05-19,In-person,28
HCP0014,REP034,2025-05-26,In-person,29
HCP0014,REP034,2025-06-09,In-person,17
HCP0014,REP034,2025-06-23,In-person,9
HCP0014,REP034,2025-07-21,In-person,23
HCP0014,REP034,2025-08-04,Virtual,19
HCP0014,REP034,2025-08-11,In-person,26
HCP0014,REP034,2025-09-08,Virtual,11
HCP0014,REP034,2025-09-15,In-person,26
HCP0014,REP034,2025-09-22,In-person,11
HCP0014,REP034,2025-10-06,Virtual,17
HCP0014,REP034,2025-10-13,Virtual,11
HCP0014,REP034,2025-10-20,In-person,10
HCP0014,REP034,2025-11-03,In-person,28
HCP0014,REP034,2025-11-10,Virtual,26
HCP0014,REP034,2025-11-17,In-person,22
HCP0014,REP034,2025-12-01,Virtual,13
HCP0014,REP034,2025-12-22,In-person,20
HCP0015,REP037,2025-10-27,In-person,20
HCP0016,REP014,2025-01-06,Virtual,21
HCP0016,REP014,2025-01-20,In-person,29
HCP0016,REP014,2025-02-10,In-person,18
HCP0016,REP014,2025-03-03,In-person,9
HCP0016,REP014,2025-03-10,In-person,12
HCP0016,REP014,2025-04-28,In-person,26
HCP0016,REP014,2025-05-12,Virtual,26
HCP0016,REP014,2025-05-26,In-person,11
HCP0016,REP014,2025-06-02,Speaker Program,14
HCP0016,REP014,2025-06-30,Virtual,20
HCP0016,REP014,2025-07-14,In-person,14
HCP0016,REP014,2025-08-11,In-person,16
HCP0016,REP014,2025-09-15,In-person,14
HCP0016,REP014,2025-09-22,Virtual,9
HCP0016,REP014,2025-10-06,In-person,17
HCP0016,REP014,2025-10-13,In-person,10
HCP0016,REP014,2025-11-10,In-person,29
HCP0017,REP007,2025-01-27,In-person,10
HCP0017,REP007,2025-02-10,In-person,12
HCP0017,REP007,2025-02-24,In-person,26
HCP0017,REP007,2025-04-21,In-person,13
HCP0017,REP007,2025-06-23,In-person,27
HCP0017,REP007,2025-06-30,In-person,9
HCP0017,REP007,2025-07-14,Virtual,15
HCP0017,REP007,2025-07-21,In-person,9
HCP0017,REP007,2025-09-08,In-person,14
HCP0017,REP007,2025-09-15,In-person,18
HCP0017,REP007,2025-09-22,In-person,27
HCP0017,REP007,2025-10-27,In-person,17
HCP0017,REP007,2025-11-03,In-person,25
HCP0017,REP007,2025-11-10,In-person,17
HCP0017,REP007,2025-12-08,In-person,23
HCP0017,REP007,2025-12-15,In-person,17
HCP0018,REP015,2025-01-20,In-person,8
HCP0018,REP015,2025-03-03,In-person,25
HCP0018,REP015,2025-07-14,In-person,8
HCP0018,REP015,2025-08-18,Virtual,29
HCP0018,REP015,2025-09-08,In-person,19
HCP0018,REP015,2025-11-03,Virtual,11
HCP0019,REP027,2025-02-17,In-person,9
HCP0019,REP027,2025-03-31,In-person,22
HCP0019,REP027,2025-05-12,Virtual,13
HCP0019,REP027,2025-07-28,Virtual,12
HCP0019,REP027,2025-10-27,In-person,19
HCP0019,REP027,2025-12-08,Virtual,24
HCP0019,REP027,2025-12-29,Virtual,25
HCP0020,REP014,2025-01-06,In-person,12
HCP0020,REP014,2025-01-20,In-person,16
HCP0020,REP014,2025-03-17,In-person,15
HCP0020,REP014,2025-08-04,Speaker Program,22
HCP0020,REP014,2025-09-08,In-person,20
HCP0020,REP014,2025-10-13,In-person,28
HCP0020,REP014,2025-11-03,In-person,28
HCP0020,REP014,2025-11-17,Speaker Program,21
HCP0021,REP033,2025-01-13,In-person,22
HCP0021,REP033,2025-02-24,In-person,20
HCP0021,REP033,2025-03-03,Virtual,17
HCP0021,REP033,2025-03-17,In-person,9
HCP0021,REP033,2025-03-24,In-person,26
HCP0021,REP033,2025-04-07,In-person,15
HCP0021,REP033,2025-04-14,In-person,24
HCP0021,REP033,2025-04-21,In-person,11
HCP0021,REP033,2025-05-26,In-person,9
HCP0021,REP033,2025-06-30,In-person,23
HCP0021,REP033,2025-07-07,Virtual,28
HCP0021,REP033,2025-07-14,In-person,10
HCP0021,REP033,2025-09-08,Virtual,10
HCP0021,REP033,2025-09-15,In-person,26
HCP0021,REP033,2025-09-22,In-person,17
HCP0021,REP033,2025-10-06,In-person,19
HCP0021,REP033,2025-10-13,In-person,26
HCP0021,REP033,2025-11-03,Virtual,22
HCP0021,REP033,2025-11-17,In-person,19
HCP0021,REP033,2025-12-08,Virtual,12
HCP0021,REP033,2025-12-15,Virtual,29
HCP0021,REP033,2025-12-22,Virtual,29
HCP0022,REP009,2025-03-24,In-person,25
HCP0022,REP009,2025-04-21,In-person,13
HCP0022,REP009,2025-06-09,Virtual,28
HCP0022,REP009,2025-09-29,Virtual,25
HCP0023,REP002,2025-01-20,In-person,19
HCP0023,REP002,2025-02-03,In-person,29
HCP0023,REP002,2025-02-17,In-person,25
HCP0023,REP002,2025-04-07,In-person,21
HCP0023,REP002,2025-04-14,In-person,22
HCP0023,REP002,2025-04-28,Virtual,29
HCP0023,REP002,2025-05-05,Virtual,14
HCP0023,REP002,2025-05-12,In-person,16
HCP0023,REP002,2025-06-09,Virtual,13
HCP0023,REP002,2025-06-23,Virtual,19
HCP0023,REP002,2025-07-21,Speaker Program,8
HCP0023,REP002,2025-08-04,In-person,22
HCP0023,REP002,2025-09-29,In-person,25
HCP0023,REP002,2025-11-10,In-person,19
HCP0023,REP002,2025-12-01,In-person,22
HCP0023,REP002,2025-12-22,In-person,29
HCP0024,REP003,2025-01-20,In-person,18
HCP0024,REP003,2025-02-03,Virtual,15
HCP0024,REP003,2025-02-24,Virtual,15
HCP0024,REP003,2025-03-03,In-person,19
HCP0024,REP003,2025-03-10,Virtual,28
HCP0024,REP003,2025-03-24,In-person,28
HCP0024,REP003,2025-04-07,In-person,25
HCP0024,REP003,2025-04-14,In-person,21
HCP0024,REP003,2025-05-05,In-person,22
HCP0024,REP003,2025-05-12,In-person,17
HCP0024,REP003,2025-06-16,Virtual,26
HCP0024,REP003,2025-06-30,In-person,28
HCP0024,REP003,2025-07-14,In-person,29
HCP0024,REP003,2025-07-21,Virtual,26
HCP0024,REP003,2025-07-28,In-person,29
HCP0024,REP003,2025-08-04,In-person,23
HCP0024,REP003,2025-08-18,In-person,17
HCP0024,REP003,2025-09-08,In-person,28
HCP0024,REP003,2025-09-22,In-person,16
HCP0024,REP003,2025-10-06,In-person,10
HCP0024,REP003,2025-10-20,Virtual,25
HCP0024,REP003,2025-10-27,In-person,22
HCP0024,REP003,2025-11-10,In-person,9
HCP0024,REP003,2025-11-17,In-person,9
HCP0024,REP003,2025-12-01,In-person,21
HCP0024,REP003,2025-12-08,In-person,24
HCP0024,REP003,2025-12-29,In-person,12
HCP0025,REP036,2025-01-06,In-person,18
HCP0025,REP036,2025-01-13,Virtual,13
HCP0025,REP036,2025-01-20,Virtual,18
HCP0025,REP036,2025-02-03,In-person,8
HCP0025,REP036,2025-02-10,In-person,28
HCP0025,REP036,2025-02-17,In-person,19
HCP0025,REP036,2025-02-24,In-person,26
HCP0025,REP036,2025-03-03,In-person,13
HCP0025,REP036,2025-03-10,In-person,25
HCP0025,REP036,2025-04-14,In-person,10
HCP0025,REP036,2025-04-21,In-person,19
HCP0025,REP036,2025-06-09,In-person,8
HCP0025,REP036,2025-07-07,In-person,16
HCP0025,REP036,2025-07-14,Virtual,25
HCP0025,REP036,2025-07-21,In-person,25
HCP0025,REP036,2025-07-28,In-person,21
HCP0025,REP036,2025-08-04,In-person,18
HCP0025,REP036,2025-08-18,In-person,25
HCP0025,REP036,2025-08-25,In-person,26
HCP0025,REP036,2025-09-01,In-person,22
HCP0025,REP036,2025-09-08,Virtual,15
HCP0025,REP036,2025-09-15,In-person,16
HCP0025,REP036,2025-10-06,In-person,9
HCP0025,REP036,2025-10-13,In-person,11
HCP0025,REP036,2025-12-08,Virtual,11
HCP0026,REP029,2025-02-10,Virtual,11
HCP0026,REP029,2025-03-03,In-person,9
HCP0026,REP029,2025-03-10,In-person,12
HCP0027,REP015,2025-02-24,In-person,15
HCP0027,REP015,2025-03-03,In-person,14
HCP0027,REP015,2025-03-31,Speaker Program,16
HCP0027,REP015,2025-04-14,In-person,12
HCP0027,REP015,2025-05-05,In-person,10
HCP0027,REP015,2025-05-12,Virtual,8
HCP0027,REP015,2025-05-19,In-person,10
HCP0027,REP015,2025-06-09,In-person,12
HCP0027,REP015,2025-06-23,In-person,23
HCP0027,REP015,2025-06-30,In-person,22
HCP0027,REP015,2025-07-14,In-person,21
HCP0027,REP015,2025-09-01,Virtual,17
HCP0027,REP015,2025-09-15,In-person,28
HCP0027,REP015,2025-10-13,Virtual,18
HCP0027,REP015,2025-10-20,In-person,16
HCP0027,REP015,2025-11-24,Virtual,26
HCP0027,REP015,2025-12-01,In-person,23
HCP0027,REP015,2025-12-22,Virtual,24
HCP0028,REP029,2025-01-13,Virtual,9
HCP0028,REP029,2025-02-03,In-person,8
HCP0028,REP029,2025-03-10,Virtual,12
HCP0028,REP029,2025-03-24,In-person,11
HCP0028,REP029,2025-04-21,In-person,13
HCP0028,REP029,2025-05-05,In-person,9
HCP0028,REP029,2025-05-12,In-person,8
HCP0028,REP029,2025-06-02,Virtual,19
HCP0028,REP029,2025-06-16,Virtual,15
HCP0028,REP029,2025-06-23,In-person,13
HCP0028,REP029,2025-07-21,Virtual,21
HCP0028,REP029,2025-10-06,Speaker Program,17
HCP0028,REP029,2025-11-03,In-person,27
HCP0028,REP029,2025-11-17,In-person,13
HCP0028,REP029,2025-12-08,In-person,18
HCP0029,REP023,2025-01-06,In-person,23
HCP0029,REP023,2025-01-13,In-person,8
HCP0029,REP023,2025-02-10,Virtual,17
HCP0029,REP023,2025-02-24,Virtual,15
HCP0029,REP023,2025-03-03,Virtual,25
HCP0029,REP023,2025-03-17,In-person,14
HCP0029,REP023,2025-03-24,Virtual,8
HCP0029,REP023,2025-04-28,Virtual,15
HCP0029,REP023,2025-05-05,Virtual,10
HCP0029,REP023,2025-05-12,In-person,27
HCP0029,REP023,2025-05-19,In-person,26
HCP0029,REP023,2025-06-09,In-person,20
HCP0029,REP023,2025-06-23,In-person,22
HCP0029,REP023,2025-07-14,Virtual,27
HCP0029,REP023,2025-07-21,In-person,25
HCP0029,REP023,2025-08-04,In-person,18
HCP0029,REP023,2025-08-18,In-person,29
HCP0029,REP023,2025-08-25,In-person,21
HCP0029,REP023,2025-09-29,In-person,26
HCP0029,REP023,2025-10-13,In-person,11
HCP0029,REP023,2025-11-03,Speaker Program,24
HCP0029,REP023,2025-11-17,In-person,10
HCP0029,REP023,2025-11-24,In-person,15
HCP0029,REP023,2025-12-15,In-person,8
HCP0029,REP023,2025-12-22,In-person,25
HCP0030,REP016,2025-03-31,Virtual,9
HCP0030,REP016,2025-05-12,In-person,19
HCP0030,REP016,2025-06-23,In-person,9
HCP0030,REP016,2025-07-14,Speaker Program,15
HCP0030,REP016,2025-07-28,In-person,16
HCP0030,REP016,2025-09-01,In-person,20
HCP0030,REP016,2025-11-03,In-person,25
HCP0030,REP016,2025-11-24,In-person,13
HCP0030,REP016,2025-12-08,In-person,22
HCP0031,REP024,2025-01-13,In-person,20
HCP0031,REP024,2025-01-20,Virtual,24
HCP0031,REP024,2025-01-27,In-person,28
HCP0031,REP024,2025-02-10,In-person,24
HCP0031,REP024,2025-02-17,Virtual,12
HCP0031,REP024,2025-03-03,In-person,23
HCP0031,REP024,2025-04-21,Virtual,23
HCP0031,REP024,2025-05-19,In-person,19
HCP0031,REP024,2025-06-30,Virtual,28
HCP0031,REP024,2025-07-14,Virtual,26
HCP0031,REP024,2025-08-04,In-person,23
HCP0031,REP024,2025-09-01,In-person,17
HCP0031,REP024,2025-09-15,In-person,16
HCP0031,REP024,2025-09-29,Speaker Program,14
HCP0031,REP024,2025-10-27,Virtual,20
HCP0031,REP024,2025-11-10,In-person,20
HCP0031,REP024,2025-11-17,Virtual,9
HCP0032,REP008,2025-01-13,In-person,19
HCP0032,REP008,2025-01-20,Virtual,9
HCP0032,REP008,2025-02-03,In-person,8
HCP0032,REP008,2025-03-24,In-person,20
HCP0032,REP008,2025-03-31,Virtual,13
HCP0032,REP008,2025-04-14,In-person,27
HCP0032,REP008,2025-05-12,In-person,29
HCP0032,REP008,2025-05-26,In-person,17
HCP0032,REP008,2025-06-02,In-person,9
HCP0032,REP008,2025-07-28,Speaker Program,14
HCP0032,REP008,2025-08-11,In-person,24
HCP0032,REP008,2025-09-29,In-person,24
HCP0033,REP014,2025-01-20,In-person,8
HCP0033,REP014,2025-01-27,In-person,14
HCP0033,REP014,2025-02-03,In-person,15
HCP0033,REP014,2025-02-10,Virtual,23
HCP0033,REP014,2025-03-31,In-person,29
HCP0033,REP014,2025-05-26,Speaker Program,20
HCP0033,REP014,2025-09-08,In-person,15
HCP0033,REP014,2025-09-29,Virtual,21
HCP0033,REP014,2025-11-03,In-person,26
HCP0034,REP024,2025-04-07,In-person,12
HCP0034,REP024,2025-05-05,In-person,24
HCP0034,REP024,2025-05-19,In-person,10
HCP0034,REP024,2025-07-21,Virtual,24
HCP0034,REP024,2025-08-11,In-person,10
HCP0034,REP024,2025-08-25,In-person,24
HCP0034,REP024,2025-09-08,Speaker Program,8
HCP0034,REP024,2025-09-15,In-person,20
HCP0034,REP024,2025-09-22,Virtual,12
HCP0034,REP024,2025-10-20,Virtual,13
HCP0034,REP024,2025-11-10,In-person,9
HCP0034,REP024,2025-12-08,Virtual,20
HCP0034,REP024,2025-12-22,In-person,18
HCP0035,REP001,2025-01-27,In-person,29
HCP0035,REP001,2025-02-17,In-person,29
HCP0035,REP001,2025-03-03,In-person,28
HCP0035,REP001,2025-05-19,In-person,13
HCP0035,REP001,2025-06-09,In-person,19
HCP0035,REP001,2025-06-23,Speaker Program,12
HCP0035,REP001,2025-07-21,In-person,29
HCP0035,REP001,2025-08-18,Virtual,9
HCP0035,REP001,2025-10-27,In-person,8
HCP0036,REP020,2025-01-06,In-person,11
HCP0036,REP020,2025-02-03,In-person,19
HCP0036,REP020,2025-02-17,In-person,22
HCP0036,REP020,2025-04-14,In-person,19
HCP0036,REP020,2025-04-21,In-person,15
HCP0036,REP020,2025-05-05,In-person,23
HCP0036,REP020,2025-05-26,Virtual,10
HCP0036,REP020,2025-06-02,Virtual,22
HCP0036,REP020,2025-06-16,In-person,16
HCP0036,REP020,2025-06-23,In-person,14
HCP0036,REP020,2025-06-30,In-person,27
HCP0036,REP020,2025-07-14,Virtual,13
HCP0036,REP020,2025-07-21,In-person,27
HCP0036,REP020,2025-07-28,Virtual,28
HCP0036,REP020,2025-08-18,In-person,8
HCP0036,REP020,2025-09-01,In-person,25
HCP0036,REP020,2025-09-22,In-person,16
HCP0036,REP020,2025-10-06,Virtual,28
HCP0036,REP020,2025-10-20,Virtual,26
HCP0036,REP020,2025-11-24,In-person,25
HCP0036,REP020,2025-12-08,In-person,27
HCP0036,REP020,2025-12-15,Virtual,12
HCP0036,REP020,2025-12-22,Virtual,23
HCP0036,REP020,2025-12-29,In-person,15
HCP0037,REP011,2025-02-03,In-person,9
HCP0037,REP011,2025-02-17,Virtual,9
HCP0037,REP011,2025-03-03,In-person,15
HCP0037,REP011,2025-03-24,In-person,12
HCP0037,REP011,2025-10-20,In-person,24
HCP0037,REP011,2025-11-10,In-person,25
HCP0038,REP027,2025-02-03,Virtual,26
HCP0038,REP027,2025-02-10,Virtual,20
HCP0038,REP027,2025-02-24,In-person,26
HCP0038,REP027,2025-03-10,In-person,18
HCP0038,REP027,2025-03-31,In-person,21
HCP0038,REP027,2025-05-05,In-person,28
HCP0038,REP027,2025-05-26,Virtual,12
HCP0038,REP027,2025-06-02,In-person,26
HCP0038,REP027,2025-06-09,Virtual,21
HCP0038,REP027,2025-06-16,In-person,22
HCP0038,REP027,2025-07-07,Virtual,25
HCP0038,REP027,2025-07-14,In-person,23
HCP0038,REP027,2025-08-18,In-person,23
HCP0038,REP027,2025-08-25,Virtual,17
HCP0038,REP027,2025-09-01,Speaker Program,11
HCP0038,REP027,2025-09-08,Virtual,15
HCP0038,REP027,2025-09-15,Virtual,21
HCP0038,REP027,2025-09-22,Virtual,16
HCP0038,REP027,2025-10-13,In-person,13
HCP0038,REP027,2025-11-03,Virtual,14
HCP0038,REP027,2025-11-24,In-person,12
HCP0038,REP027,2025-12-08,In-person,23
HCP0038,REP027,2025-12-15,In-person,23
HCP0039,REP011,2025-01-27,In-person,25
HCP0039,REP011,2025-02-17,In-person,14
HCP0039,REP011,2025-03-03,Speaker Program,26
HCP0039,REP011,2025-03-24,In-person,14
HCP0039,REP011,2025-06-09,Virtual,25
HCP0039,REP011,2025-06-16,In-person,14
HCP0039,REP011,2025-08-25,Virtual,25
HCP0039,REP011,2025-10-13,In-person,22
HCP0039,REP011,2025-12-29,Virtual,19
HCP0040,REP002,2025-01-06,In-person,9
HCP0040,REP002,2025-01-27,Virtual,8
HCP0040,REP002,2025-06-16,Virtual,23
HCP0040,REP002,2025-08-25,In-person,26
HCP0040,REP002,2025-09-22,In-person,10
HCP0040,REP002,2025-10-27,In-person,13
HCP0040,REP002,2025-11-03,In-person,10
HCP0040,REP002,2025-11-10,Virtual,17
HCP0040,REP002,2025-11-24,In-person,9
HCP0040,REP002,2025-12-08,In-person,28
HCP0041,REP028,2025-03-24,Virtual,26
HCP0041,REP028,2025-07-28,Virtual,23
HCP0041,REP028,2025-10-20,Speaker Program,21
HCP0041,REP028,2025-12-08,Virtual,11
HCP0042,REP009,2025-01-06,Virtual,20
HCP0042,REP009,2025-01-20,In-person,21
HCP0042,REP009,2025-02-17,Speaker Program,28
HCP0042,REP009,2025-02-24,Virtual,15
HCP0042,REP009,2025-03-03,In-person,11
HCP0042,REP009,2025-06-02,In-person,26
HCP0042,REP009,2025-06-30,In-person,17
HCP0042,REP009,2025-07-14,Virtual,28
HCP0042,REP009,2025-07-21,Virtual,28
HCP0042,REP009,2025-08-04,In-person,29
HCP0042,REP009,2025-08-11,In-person,23
HCP0042,REP009,2025-08-18,Virtual,17
HCP0042,REP009,2025-09-01,In-person,22
HCP0042,REP009,2025-09-08,In-person,15
HCP0042,REP009,2025-09-15,In-person,28
HCP0042,REP009,2025-10-06,Virtual,8
HCP0042,REP009,2025-11-10,In-person,20
HCP0042,REP009,2025-11-17,In-person,15
HCP0042,REP009,2025-12-08,In-person,22
HCP0042,REP009,2025-12-22,In-person,22
HCP0042,REP009,2025-12-29,Virtual,25
HCP0043,REP006,2025-01-06,Virtual,18
HCP0043,REP006,2025-01-20,Virtual,18
HCP0043,REP006,2025-01-27,In-person,17
HCP0043,REP006,2025-04-07,In-person,20
HCP0043,REP006,2025-04-14,In-person,22
HCP0043,REP006,2025-05-19,Virtual,20
HCP0043,REP006,2025-06-09,In-person,14
HCP0043,REP006,2025-06-23,In-person,26
HCP0043,REP006,2025-07-07,In-person,19
HCP0043,REP006,2025-07-21,In-person,25
HCP0043,REP006,2025-08-18,Virtual,22
HCP0043,REP006,2025-09-01,In-person,14
HCP0043,REP006,2025-09-08,Virtual,29
HCP0043,REP006,2025-09-15,Speaker Program,28
HCP0043,REP006,2025-09-22,Speaker Program,14
HCP0043,REP006,2025-11-03,In-person,27
HCP0043,REP006,2025-11-10,In-person,11
HCP0043,REP006,2025-11-24,Virtual,14
HCP0043,REP006,2025-12-01,Virtual,25
HCP0043,REP006,2025-12-15,Virtual,20
HCP0043,REP006,2025-12-22,Virtual,27
HCP0044,REP015,2025-01-06,Virtual,16
HCP0044,REP015,2025-01-13,In-person,26
HCP0044,REP015,2025-01-27,In-person,25
HCP0044,REP015,2025-02-10,In-person,25
HCP0044,REP015,2025-03-24,Virtual,19
HCP0044,REP015,2025-04-07,In-person,17
HCP0044,REP015,2025-04-21,In-person,8
HCP0044,REP015,2025-04-28,In-person,9
HCP0044,REP015,2025-05-12,In-person,12
HCP0044,REP015,2025-06-16,Virtual,27
HCP0044,REP015,2025-06-30,Virtual,24
HCP0044,REP015,2025-08-18,In-person,14
HCP0044,REP015,2025-09-15,In-person,21
HCP0044,REP015,2025-09-29,Virtual,15
HCP0044,REP015,2025-10-27,In-person,18
HCP0044,REP015,2025-11-10,Virtual,22
HCP0044,REP015,2025-11-17,Virtual,13
HCP0044,REP015,2025-11-24,In-person,29
HCP0044,REP015,2025-12-29,In-person,21
HCP0045,REP009,2025-01-20,In-person,18
HCP0045,REP009,2025-01-27,In-person,10
HCP0045,REP009,2025-02-03,In-person,19
HCP0045,REP009,2025-02-24,In-person,29
HCP0045,REP009,2025-03-03,Virtual,27
