rep_id,quarter,quota_volume,actual_volume,attainment_pct,payout_tier
REP025,2025-Q4,5492.3,6146.4,111.9,Accelerator (150%)
REP018,2025-Q4,6852.4,7582.4,110.7,Accelerator (150%)
REP017,2025-Q4,5791.2,6261.3,108.1,Full Payout (100%)
REP008,2025-Q4,9840.8,10561.7,107.3,Full Payout (100%)
REP034,2025-Q4,6558.9,7017.8,107.0,Full Payout (100%)
REP022,2025-Q4,6316.6,6743.5,106.8,Full Payout (100%)
REP014,2025-Q4,11897.5,12594.5,105.9,Full Payout (100%)
REP006,2025-Q4,8470.1,8788.0,103.8,Full Payout (100%)
REP030,2025-Q4,7788.9,7997.3,102.7,Full Payout (100%)
REP020,2025-Q4,16242.4,16438.4,101.2,Full Payout (100%)
REP032,2025-Q4,7628.5,7720.1,101.2,Full Payout (100%)
REP013,2025-Q4,8206.5,8279.9,100.9,Full Payout (100%)
REP016,2025-Q4,13075.2,13177.3,100.8,Full Payout (100%)
REP015,2025-Q4,14371.4,14395.9,100.2,Full Payout (100%)
REP031,2025-Q4,11645.2,11656.6,100.1,Full Payout (100%)
REP003,2025-Q4,7870.7,7835.2,99.5,Partial Payout (50%)
REP033,2025-Q4,13024.7,12795.8,98.2,Partial Payout (50%)
REP036,2025-Q4,13164.4,11967.4,90.9,Partial Payout (50%)
REP007,2025-Q4,7085.7,6373.9,90.0,Partial Payout (50%)
REP039,2025-Q4,15851.5,14177.7,89.4,Partial Payout (50%)
REP000,2025-Q4,12003.0,10672.8,88.9,Partial Payout (50%)
REP011,2025-Q4,11210.8,9910.8,88.4,Partial Payout (50%)
REP024,2025-Q4,16304.8,14346.3,88.0,Partial Payout (50%)
REP035,2025-Q4,6299.4,5482.6,87.0,Partial Payout (50%)
REP029,2025-Q4,17545.7,14880.8,84.8,Partial Payout (50%)
REP021,2025-Q4,22019.0,18566.1,84.3,Partial Payout (50%)
REP037,2025-Q4,13366.2,11167.9,83.6,Partial Payout (50%)
REP019,2025-Q4,11493.3,9513.0,82.8,Partial Payout (50%)
REP028,2025-Q4,19227.9,15919.6,82.8,Partial Payout (50%)
REP010,2025-Q4,13381.8,11048.7,82.6,Partial Payout (50%)
REP027,2025-Q4,12258.0,10096.4,82.4,Partial Payout (50%)
